"re75","treat","age"
4397.032,0,47
0,0,31
0,1,35
469.0645,0,23
3457.113,0,42
0,0,55
10589.76,0,25
0,0,29
0,0,40
873.6774,0,17
2538.677,0,51
2594.723,1,46
2968.355,0,20
11991.58,0,41
0,1,48
0,0,47
2352.484,0,20
6369.968,0,33
0,1,37
2792.903,0,20
4688.855,0,40
0,1,22
2638.935,0,37
211.2581,0,18
1503.871,0,17
1489.548,0,53
1220.836,1,20
0,0,16
0,0,23
10.74194,0,17
1178.032,0,28
0,1,25
0,0,19
0,0,28
5222.371,0,27
6228.532,0,31
1906.694,0,27
3718.5,0,28
4762.258,0,25
0,0,18
1532.516,0,18
1367.806,0,18
0,0,17
5324.109,1,19
0,0,21
3328.21,0,18
5279.661,0,28
1754.516,0,25
3287.375,1,18
4273.5,0,20
1181.613,0,16
0,0,51
861.1452,0,19
0,1,17
594.3871,0,21
0,0,48
12756.05,0,37
0,1,19
8457.484,0,36
936.1773,1,22
853.7225,1,27
0,0,25
0,0,27
1321.258,0,31
12625.35,0,32
3919.016,0,19
0,1,38
0,0,49
0,0,35
0,1,22
0,1,25
0,0,22
0,1,27
4738.984,0,25
857.5645,0,27
2842.764,1,24
3453.532,0,43
245.2742,0,46
2970.145,0,20
1822.548,0,18
5463.803,1,19
6652.839,0,25
3426.677,0,27
3410.565,0,27
0,1,40
15316.21,0,25
1136.855,0,19
6221.371,0,36
2518.984,0,19
2937.264,1,19
0,0,34
300.7742,0,17
3190.355,0,50
0,1,18
5517.841,1,31
630.1935,0,16
1784.274,1,18
0,1,42
0,1,24
6493.5,0,39
277.5,0,16
5775.581,0,53
3881.419,0,44
6352.065,0,29
0,1,25
0,1,23
0,1,22
4110.581,0,21
1284.079,1,28
5109.581,0,26
1283.661,0,20
1693.645,0,19
0,0,23
0,0,18
7793.274,0,25
5875.049,1,20
0,1,27
0,0,18
1408.984,0,18
5872.258,0,26
2082.145,0,17
1698.607,1,31
0,0,30
0,0,36
0,0,16
1317.677,0,46
1330.21,0,21
1491.339,0,18
2873.468,0,36
3332.409,1,21
7293.774,0,25
0,0,34
2506.452,0,52
1224.581,0,16
679.6734,1,29
868.3065,0,17
2421.947,1,24
0,0,53
2399.032,0,35
0,0,19
3842.032,0,20
0,0,26
0,0,21
0,0,22
975.7258,0,16
2284.452,0,18
2010.532,0,30
6056.754,1,19
6978.677,0,19
7372.548,0,22
0,1,23
6932.129,0,29
4398.95,1,29
7055.702,1,22
0,0,23
0,1,18
18347.23,0,30
306.1452,0,20
2886,0,39
12029.18,0,38
0,1,43
4078.152,1,24
0,0,16
0,1,38
760.8871,0,24
0,0,17
7431.629,0,49
0,0,20
4056.871,0,21
785.9516,0,19
13830.64,1,35
4636.935,0,48
4023.211,1,31
0,0,29
3790.113,0,28
74.34345,1,17
238.1129,0,32
0,1,17
0,0,37
666,0,52
3058.531,1,42
930.9677,0,39
0,0,17
1342.742,0,40
0,0,16
4191.145,0,18
0,0,38
0,1,23
8543.419,0,47
3482.177,0,23
0,1,27
3054.29,0,19
0,1,41
0,0,32
7709.129,0,27
2832.29,0,42
12022.02,0,39
5793.852,1,17
0,0,55
1269.339,0,36
